// NgramTextClassifier created this file from 3538118 characters.
Classification	Spam
Total	3538118
8738	146	14.5647
8739	2179	10.6651
8740	5	19.4326
8741	3	20.1696
8742	3	20.1696
8743	15	17.8477
8744	6	19.1696
8745	17	17.6671
8746	2	20.7546
8747	71	15.6048
8748	49	16.1398
8749	207	14.0611
8750	97	15.1546
8751	29	16.8966
8752	1130	11.6124
8753	1610	11.1017
8754	1318	11.3904
8755	587	12.5573
8756	697	12.3095
8757	883	11.9683
8758	267	13.6939
8759	146	14.5647
8760	133	14.6993
8761	137	14.6565
8762	8	18.7546
8763	30	16.8477
8764	31	16.8004
8765	70	15.6253
8766	8507	8.70012
8767	2	20.7546
8768	1	21.7546
8769	640	12.4326
8770	143	14.5947
8771	328	13.397
8772	49	16.1398
8773	38	16.5066
8774	339	13.3494
8775	98	15.1398
8776	67	15.6885
8777	158	14.4508
8778	15	17.8477
8779	14	17.9472
8780	43	16.3283
8781	368	13.231
8782	72	15.5846
8783	21	17.3622
8784	98	15.1398
8785	7	18.9472
8786	34	16.6671
8787	168	14.3622
8788	493	12.8091
8789	19	17.5066
8790	680	12.3452
8791	106	15.0266
8792	1	21.7546
8793	10	18.4326
8794	3	20.1696
8799	55	15.9732
8800	6	19.1696
8801	98	15.1398
8802	201	14.1035
8803	864	11.9997
8804	28	16.9472
8805	103	15.0681
8806	75	15.5257
8807	36	16.5846
8808	2068	10.7405
8809	298	13.5354
8810	18	17.5846
8811	20	17.4326
8812	192	14.1696
8813	223	13.9537
8814	26	17.0541
8815	9	18.5846
8816	151	14.5161
8817	3	20.1696
8818	304	13.5066
8819	133	14.6993
8820	547	12.6592
8821	73	15.5647
8822	107	15.0131
8823	45	16.2627
8824	4	19.7546
8825	21	17.3622
8826	30	16.8477
8827	6	19.1696
8829	1	21.7546
8892	2	20.7546
8970	40	16.4326
8987	9	18.5846
8992	210	14.0403
8995	553	12.6434
8996	3	20.1696
8998	2	20.7546
8999	2	20.7546
9001	4	19.7546
9004	2	20.7546
9007	4	19.7546
9008	1084	11.6724
9009	291	13.5697
9010	56	15.9472
9011	88	15.2951
9012	49	16.1398
9013	32	16.7546
9014	95	15.1847
9015	9	18.5846
9016	158	14.4508
9017	81	15.4147
9018	3	20.1696
9021	11	18.2951
9024	1	21.7546
9026	2	20.7546
9027	146	14.5647
9028	26	17.0541
9029	8	18.7546
9030	784	12.1398
9032	2	20.7546
9033	2	20.7546
9037	8	18.7546
9046	3	20.1696
9055	1	21.7546
9057	9	18.5846
9058	1	21.7546
9059	73	15.5647
9060	24	17.1696
9061	27	16.9997
9062	480	12.8477
9065	2	20.7546
9074	1	21.7546
9075	2	20.7546
9078	1	21.7546
9225	2	20.7546
9226	13	18.0541
9243	3	20.1696
9248	32	16.7546
9249	3	20.1696
9250	1	21.7546
9252	710	12.2829
9253	24	17.1696
9254	9	18.5846
9257	28	16.9472
9258	12	18.1696
9259	1	21.7546
9260	10	18.4326
9261	3	20.1696
9262	3	20.1696
9264	204	14.0821
9265	285	13.5997
9266	261	13.7266
9267	145	14.5746
9268	82	15.397
9269	216	13.9997
9270	114	14.9217
9271	98	15.1398
9272	32	16.7546
9273	45	16.2627
9276	3	20.1696
9277	7	18.9472
9279	18	17.5846
9281	2	20.7546
9282	93	15.2154
9283	6	19.1696
9284	6	19.1696
9286	4	19.7546
9287	12	18.1696
9288	6	19.1696
9289	3	20.1696
9290	18	17.5846
9291	15	17.8477
9294	27	16.9997
9295	27	16.9997
9298	28	16.9472
9299	2	20.7546
9310	15	17.8477
9311	1	21.7546
9313	5	19.4326
9314	3	20.1696
9315	2	20.7546
9316	1	21.7546
9317	6	19.1696
9318	3	20.1696
9320	6	19.1696
9321	3	20.1696
9322	9	18.5846
9323	9	18.5846
9324	3	20.1696
9330	24	17.1696
9338	1	21.7546
9354	1	21.7546
9397	1	21.7546
9481	2	20.7546
9482	40	16.4326
9504	319	13.4371
9505	2	20.7546
9506	1124	11.6201
9508	18	17.5846
9510	1	21.7546
9513	10	18.4326
9514	4	19.7546
9516	7	18.9472
9517	4	19.7546
9518	11	18.2951
9519	21	17.3622
9522	52	16.0541
9523	476	12.8597
9524	12	18.1696
9525	13	18.0541
9526	42	16.3622
9527	87	15.3116
9529	6	19.1696
9531	32	16.7546
9532	22	17.2951
9533	58	15.8966
9534	3	20.1696
9535	1	21.7546
9537	6	19.1696
9539	6	19.1696
9541	15	17.8477
9544	21	17.3622
9546	15	17.8477
9551	3	20.1696
9559	6	19.1696
9565	6	19.1696
9569	6	19.1696
9571	3	20.1696
9574	1	21.7546
9577	3	20.1696
9578	9	18.5846
9579	6	19.1696
9580	6	19.1696
9587	12	18.1696
9726	1	21.7546
9755	6	19.1696
9760	251	13.783
9763	248	13.8004
9764	3	20.1696
9766	3	20.1696
9768	1	21.7546
9770	6	19.1696
9778	1	21.7546
9795	2	20.7546
9796	2	20.7546
9800	4	19.7546
9801	6	19.1696
9807	9	18.5846
9813	6	19.1696
9825	91	15.2468
9826	10	18.4326
9827	19	17.5066
9828	2	20.7546
9829	105	15.0403
9831	26	17.0541
9832	4	19.7546
9833	9	18.5846
9836	54	15.9997
