// NgramTextClassifier created this file from 2044556 characters.
Classification	Ham
Total	2044556
10587	1	20.9634
10589	6	18.3784
10591	2	19.9634
10605	1	20.9634
10611	106	14.2354
10613	1	20.9634
10615	2	19.9634
10621	2	19.9634
10762	23	16.4398
10784	142	13.8136
10792	1	20.9634
10793	7	18.156
10794	426	12.2286
10796	3	19.3784
10798	8	17.9634
10799	2	19.9634
10810	1	20.9634
10813	2	19.9634
10815	1	20.9634
10817	3	19.3784
10819	1	20.9634
10821	1	20.9634
10822	1	20.9634
10824	1	20.9634
10825	2	19.9634
10829	1	20.9634
10832	2	19.9634
10834	1	20.9634
10835	1	20.9634
10836	1	20.9634
10839	1	20.9634
10845	2	19.9634
10847	3	19.3784
10849	3	19.3784
10850	4	18.9634
10851	2	19.9634
10852	9	17.7934
10853	1	20.9634
10854	1	20.9634
10856	2	19.9634
10857	6	18.3784
10860	1	20.9634
10861	1	20.9634
10862	15	17.0565
10863	6	18.3784
10865	1	20.9634
10866	1	20.9634
10867	5	18.6414
10868	6	18.3784
10870	2	19.9634
10871	2	19.9634
10873	3	19.3784
11017	3	19.3784
11018	8	17.9634
11040	73	14.7735
11042	1	20.9634
11044	2	19.9634
11045	1	20.9634
11049	3	19.3784
11051	46	15.4398
11052	3	19.3784
11053	5	18.6414
11054	2	19.9634
11055	3	19.3784
11056	2069	9.94864
11057	27	16.2085
11058	2	19.9634
11059	18	16.7934
11060	4	18.9634
11061	1	20.9634
11064	1	20.9634
11072	2	19.9634
11073	2	19.9634
11074	1	20.9634
11075	2	19.9634
11076	2	19.9634
11078	1	20.9634
11079	3	19.3784
11080	2	19.9634
11081	2	19.9634
11084	3	19.3784
11085	1	20.9634
11087	1	20.9634
11091	6	18.3784
11092	1	20.9634
11093	2	19.9634
11094	1	20.9634
11097	1	20.9634
11098	1	20.9634
11106	1	20.9634
11108	5	18.6414
11109	3	19.3784
11110	3	19.3784
11111	1	20.9634
11113	5	18.6414
11114	2	19.9634
11120	3	19.3784
11121	3	19.3784
11122	2	19.9634
11123	52	15.2629
11124	2	19.9634
11126	1	20.9634
11127	3	19.3784
11130	3	19.3784
11133	1	20.9634
11156	8	17.9634
11274	1306	10.6124
11296	9807	7.70376
11298	153	13.706
11303	12	17.3784
11306	1	20.9634
11308	25	16.3195
11310	2	19.9634
11312	82	14.6058
11313	28	16.156
11314	21	16.571
11315	7	18.156
11316	6	18.3784
11317	6	18.3784
11318	12	17.3784
11319	13	17.2629
11320	17	16.8759
11321	9	17.7934
11329	4	18.9634
11332	8	17.9634
11333	47	15.4088
11334	10	17.6414
11335	3	19.3784
11336	9	17.7934
11337	100	14.3195
11339	195	13.356
11341	6	18.3784
11342	40	15.6414
11343	3	19.3784
11344	2	19.9634
11345	62	15.0092
11346	126	13.9861
11347	196	13.3486
11348	45	15.4715
11349	129	13.9521
11352	34	15.8759
11353	1	20.9634
11355	1	20.9634
11361	29	16.1054
11363	4	18.9634
11364	1	20.9634
11365	5	18.6414
11369	2	19.9634
11372	1	20.9634
11376	1	20.9634
11379	2	19.9634
11380	4	18.9634
11382	2	19.9634
11488	1	20.9634
11497	1	20.9634
11529	1	20.9634
11530	248	13.0092
11552	964	11.0505
11554	2	19.9634
11559	6	18.3784
11560	5	18.6414
11561	48	15.3784
11562	3	19.3784
11563	4	18.9634
11565	15360	7.05647
11566	6	18.3784
11567	6	18.3784
11568	2477	9.68898
11569	814	11.2945
11570	347	12.5246
11571	73	14.7735
11572	46	15.4398
11573	703	11.506
11574	64	14.9634
11575	42	15.571
11576	234	13.093
11577	34	15.8759
11581	23	16.4398
11582	217	13.2018
11585	899	11.1512
11586	455	12.1336
11587	32	15.9634
11588	160	13.6414
11589	411	12.2804
11590	42	15.571
11591	21	16.571
11592	400	12.3195
11593	952	11.0685
11594	7	18.156
11595	5	18.6414
11596	225	13.1496
11597	862	11.2118
11598	7	18.156
11599	175	13.5121
11600	1093	10.8693
11602	319	12.6459
11603	538	11.8919
11604	2556	9.64368
11605	485	12.0415
11606	859	11.2168
11607	97	14.3634
11608	18	16.7934
11609	74	14.7539
11611	2	19.9634
11613	34	15.8759
11615	4	18.9634
11617	1861	10.1015
11618	85	14.554
11619	380	12.3935
11620	709	11.4937
11621	92	14.4398
11622	171	13.5455
11623	65	14.941
11624	39	15.678
11625	229	13.1242
11626	21	16.571
11627	8	17.9634
11628	368	12.4398
11629	198	13.334
11630	52	15.2629
11631	159	13.6505
11632	145	13.7834
11633	4	18.9634
11634	1083	10.8825
11635	409	12.2874
11636	198	13.334
11637	355	12.4917
11638	19	16.7154
11639	298	12.7442
11640	2	19.9634
11641	15	17.0565
11642	561	11.8315
11644	1	20.9634
11646	174	13.5204
11668	5	18.6414
11671	2	19.9634
11680	16	16.9634
11786	2513	9.66816
11808	3641	9.13324
11810	225	13.1496
11814	4	18.9634
11815	22	16.5039
11816	2	19.9634
11817	75	14.7345
11818	4	18.9634
11820	26	16.2629
11821	10	17.6414
11822	1257	10.6676
11823	14	17.156
11824	5085	8.65132
11825	5812	8.45854
11826	2196	9.86269
11827	883	11.1771
11828	888	11.1689
11829	609	11.7131
11830	1914	10.061
11831	289	12.7884
11832	247	13.015
11833	1062	10.9108
11834	4	18.9634
11836	21	16.571
11837	6	18.3784
11838	5	18.6414
11839	2	19.9634
11841	61	15.0326
11842	74	14.7539
11843	216	13.2085
11844	43	15.5371
11845	27	16.2085
11846	5	18.6414
11847	50	15.3195
11848	12	17.3784
11849	54	15.2085
11850	3	19.3784
11851	4	18.9634
11852	115	14.1179
11853	8	17.9634
11854	10	17.6414
11855	39	15.678
11856	2	19.9634
11858	11	17.5039
11859	46	15.4398
11860	52	15.2629
11861	3	19.3784
11863	8	17.9634
11864	5	18.6414
11865	1	20.9634
11866	4	18.9634
11869	5	18.6414
11873	514	11.9577
11874	297	12.749
11875	9222	7.79249
11876	325	12.6191
11877	824	11.2769
11878	340	12.554
11879	761	11.3916
11880	339	12.5582
11881	1946	10.0371
11882	63	14.9861
11883	47	15.4088
11884	809	11.3034
11885	448	12.156
11886	2822	9.50085
11887	3979	9.00517
11888	272	12.8759
11889	25	16.3195
11890	237	13.0746
11891	2023	9.98108
11892	2874	9.47451
11893	453	12.14
11894	108	14.2085
11895	128	13.9634
11896	559	11.8367
11897	831	11.2647
11898	13	17.2629
12042	127	13.9747
12064	188	13.4088
12066	1	20.9634
12067	4	18.9634
12069	3	19.3784
12072	1	20.9634
12073	7	18.156
12074	4	18.9634
12075	1	20.9634
12077	8	17.9634
12078	3	19.3784
12079	2056	9.95773
12080	162	13.6235
12081	162	13.6235
12082	166	13.5883
12083	11	17.5039
12084	14	17.156
12085	44	15.5039
12086	6	18.3784
12087	95	14.3935
12088	969	11.043
12089	7	18.156
12094	332	12.5883
12095	4	18.9634
12097	55	15.182
12098	3	19.3784
12099	51	15.2909
12100	18	16.7934
12101	70	14.8341
12102	24	16.3784
12103	9	17.7934
12104	8	17.9634
12105	7	18.156
12106	16	16.9634
12107	7	18.156
12108	19	16.7154
12109	81	14.6235
12110	61	15.0326
12111	46	15.4398
12112	137	13.8653
12113	8	17.9634
12114	11	17.5039
12115	51	15.2909
12116	95	14.3935
12117	1	20.9634
12119	11	17.5039
12120	5	18.6414
12121	2	19.9634
12124	5	18.6414
12129	150	13.7345
12130	93	14.4242
12131	92	14.4398
12132	153	13.706
12133	136	13.8759
12134	888	11.1689
12135	67	14.8973
12136	42	15.571
12137	362	12.4635
12138	12	17.3784
12139	15	17.0565
12140	1150	10.7959
12141	975	11.0341
12142	82	14.6058
12143	47	15.4088
12144	887	11.1706
12145	6	18.3784
12146	191	13.3859
12147	162	13.6235
12148	297	12.749
12149	190	13.3935
12150	21	16.571
12151	684	11.5455
12152	803	11.3141
12153	28	16.156
12154	3	19.3784
12158	88	14.5039
12298	2961	9.43149
12320	2907	9.45804
12321	2	19.9634
12322	109	14.1952
12324	54	15.2085
12325	101	14.3051
12326	17	16.8759
12327	18	16.7934
12329	685	11.5434
12331	5	18.6414
12332	159	13.6505
12333	371	12.4281
12334	4630	8.78656
12335	98	14.3486
12336	14197	7.17006
12337	3060	9.38404
12338	6681	8.25751
12339	1242	10.6849
12340	1399	10.5132
12341	773	11.369
12342	774	11.3672
12343	1497	10.4155
12344	1278	10.6437
12345	1102	10.8574
12346	1326	10.5905
12347	124	14.0092
12349	11	17.5039
12350	3	19.3784
12352	267	12.9027
12353	124	14.0092
12354	59	15.0807
12355	74	14.7539
12356	70	14.8341
12357	76	14.7154
12358	61	15.0326
12359	4	18.9634
12360	12	17.3784
12361	6	18.3784
12362	3	19.3784
12363	6	18.3784
12364	4	18.9634
12365	7	18.156
12366	4	18.9634
12367	1	20.9634
12368	7	18.156
12369	7	18.156
12370	10	17.6414
12371	4	18.9634
12373	6	18.3784
12374	2	19.9634
12375	2	19.9634
12376	9	17.7934
12377	8	17.9634
12378	11	17.5039
12381	110	14.182
12383	245	13.0267
12385	44	15.5039
12386	38	15.7154
12387	32	15.9634
12388	15	17.0565
12389	30	16.0565
12390	10	17.6414
12391	5	18.6414
12392	2	19.9634
12393	4	18.9634
12394	2	19.9634
12395	6	18.3784
12396	6	18.3784
12397	11	17.5039
12398	5	18.6414
12399	7	18.156
12400	12	17.3784
12401	2	19.9634
12402	6	18.3784
12403	17	16.8759
12404	6	18.3784
12406	2	19.9634
12407	1	20.9634
12408	10	17.6414
12409	1	20.9634
12410	1	20.9634
12413	4	18.9634
12553	6	18.3784
12554	527	11.9217
12576	824	11.2769
12578	101	14.3051
12580	1	20.9634
12582	16	16.9634
12583	1	20.9634
12585	263	12.9244
12587	3	19.3784
12588	183	13.4477
12589	263	12.9244
12590	3380	9.24055
12591	60	15.0565
12592	4106	8.95984
12593	3284	9.28212
12594	2868	9.47753
12595	1051	10.9258
12596	942	11.0838
12597	1093	10.8693
12598	1527	10.3869
12599	1166	10.776
12600	1024	10.9634
12601	1318	10.5992
12602	1409	10.5029
12603	90	14.4715
12604	1	20.9634
12605	6	18.3784
12606	19	16.7154
12607	3	19.3784
12608	55	15.182
12609	48	15.3784
12610	52	15.2629
12611	108	14.2085
12612	68	14.8759
12613	68	14.8759
12614	73	14.7735
12615	3	19.3784
12616	1	20.9634
12618	5	18.6414
12619	3	19.3784
12620	4	18.9634
12621	10	17.6414
12622	5	18.6414
12623	2	19.9634
12624	9	17.7934
12625	3	19.3784
12626	1	20.9634
12627	5	18.6414
12628	2	19.9634
12629	4	18.9634
12630	3	19.3784
12631	6	18.3784
12632	1	20.9634
12633	2	19.9634
12634	17	16.8759
12637	1671	10.2569
12639	105	14.2491
12641	35	15.8341
12642	24	16.3784
12643	77	14.6966
12644	14	17.156
12645	21	16.571
12646	35	15.8341
12647	3	19.3784
12648	1	20.9634
12649	9	17.7934
12650	4	18.9634
12651	2	19.9634
12652	6	18.3784
12653	8	17.9634
12654	3	19.3784
12655	2	19.9634
12656	8	17.9634
12657	2	19.9634
12658	6	18.3784
12659	18	16.7934
12660	4	18.9634
12661	18	16.7934
